"","movietitle","moviedate","moviereviewer","movierate","moviereviewtitle","moviereview"
"1005","the matrix","2020-12-05","taldarus",0.7," too many cultural references","I was completely disappointed by this movieI remember having to stop multiple times and double check if it was the right movie I remember it coming out I remember being unable to watch it I remember all my friends giving me spoilerfree reviews No one could stop talking about this movie for way to long I remember almost instantly becoming that guy who has not seen it yet and I think thats part of the reason I didnt get around to watching it quicklyYou cant survive to watch this movie without spoilersThe entire movie is built around a single concept and that is a big reveal It is also a huge popculture reference so I almost want to hint at it but it isnt the point I wish I could have been in a theater when people hadnt seen this movie or even considered the idea that drives this movieIt must have been quite a horrifying shock to experience Neos story without spoilersI can think of dozens of pop culture jokesreferences to the matrix None of them do anything to help build or maintain the shock of the original reveal Rather they just turn in into an odd kinda joke I really wish I could go back to the theaters and experience that gasp that must have gone through the theater on opening nightI wish I had been as blown away as all those people who experienced it the first timeAll I though was Huh Still a good movie though"
"1006","the matrix","2002-11-01","dunndeedagreat",0.9," highly overrated film","The Matrix is one of the most overrated films that I can think of The film does have good action and some of the most amazing special effects ever put on a film But the film is also drawn out and confusing Keanu Reeves is the only one who could play a chacrter as flat as Neo and the rest of the cast expect for Laurence Fishburne and Joe Panotilano all give paper thin performances I give the action and effects a 10 the plot a 3 which equals about 64"
"1007","the matrix","2019-06-24","happytoms",0.5," are you the one ","If you are looking for the answer to this question then you are going to find it in the 1999 masterpiece from The Wachowski brothers which watching in 2019 still feels like it could have comed out last week and you wouldnt really notice its a 20 year old movie Everything still holds up and doesnt feel that it has aged too much both visualy and story wiseI watched this movie last time in 2012 and remembered quite a lot of the story watching it again in 2019 but this time I paid more attention to everythingI want to talk about few aspects of the movie very brieflyThe story  Easy to watch engaging action packed about a regular guy whose life changes quite drasticly and the growth of becoming the one he never thought he couldSound design Excellent When I watched all the fightaction scenes the special effects gave a satisfying feedback in my ears when someone landed a punch or got knocked outCinematography Feels like they thought about everything and it has that special Matrix feel to everythingCharacters Most mmorable are Neo which needs no introduction and agent Smith which has a way to intimidate even the viewer and they both are just iconic legendsProbably my favourite scenes were the lobbythe rooftop and all the fighting scenes against agent Smith where an underdog just tries anyway even knowing his chances of winning are slimTo conclude I would say people in the year 2070 could watch this and it would still hold up Would I reccomend it Yes Will I watch it again  Its great but I will most likely watch it again in few years after somehow my life leads back to Neo"
"1008","the matrix","1999-09-05","spleen",1," the most intelligent science fiction blockbuster in "," I dont know how long  Probably thats why it didnt do as well as big dumb lumbering things like Independence Day and The Phantom Menace and a dozen or so films I didnt bother to watchMuch of what you will have heard about this film is false  You will have heard that the premise is that were all prisoners in a virtual reality world but the premise is not that WE are prisoners in a virtual reality world  its a good deal more interesting than that  You will have heard that its hip and cynical but thankfully its neither  You will have heard the word cyberpunk being used with the odd allusion to films like The Ghost in the Shell and Blade Runner but its NOT pretentious deepbreathing tawdry angst of that kind at all  Its really quite charming once you get to know it  Beneath all the uptotheminute computer gimcracks lies a gentle and trusting heartThe central character is played by Keanu Reeves and I retract my claim that theres no use for the man  Indeed he acts rather well  Admittedly he plays a character who spends most of the film and indeed most of his life with the air of someone who in the words of another character isnt worried because he expects to wake up soon but being able to do this well is being able to do something well  Besides we spend the opening half being at least half as bewildered as he is  even if weve read the plot synopsis  When the setup is revealed in all its glory I admit that one or two details are a bit far fetched  But I never felt that my intelligence was insulted in the way things had been revealed to meSpecial effects are marvellous  I dont think Ive ever seen computergenerated images look this convincing  usually they disfigure a movie  and there are several reasons why they work so well  A dark but attractively dark style of lighting shows them at their best Psychological tricks  wellchosen camera angles misdirection  are used to make us believe in what we see noone makes the assumption that George Lucas made in The Phantom Menace that s"
"1009","the matrix","2021-12-23","cuddlesatusc",0.3," better than ever","I practically grew up on this film and its sequel I can recite it word for word but I couldnt tell what the words imply about the movie itself So to rewatch it all these years later and say it holds up pretty well is very satisfying The combination of overt philosophy  ranging from Platos cave to Descartes intellectual autonomy cyberpunk aesthetic and balls to the wall action is utilized so well It shouldnt work at all but it does Now the film isnt perfect by any means Trinity is reduced in the second half of the movie to character on standby mode and while the ending is cool it leaves the viewer with too many questions that have to be lazily answered in a sequel"
"1010","the matrix","2019-05-28","tempsjayjay",0.5," still awesome","Watched again recently and still stands up as one of the best movies ever"
"1011","the matrix","2021-12-18","akdjreview",1," groundbreaking thoughtprovoking film","The Matrix is groundbreaking and the start of the modernday effects we see today From everything to the action to the acting to the beautiful cinematography The Matrix flourishes and perfects everything there is The film is the beginning of modernday effects and action and many movies have taken inspiration from itThe storyline manages to capture the audience interest from the get go Containing a storyline that makes you think and question your own reality to induce questions you might not have thought about before Every single scene serves its purpose meanwhile every single scene is incredibly thought out with no unnecessary scenesWith incredibly thought out scenes comes beautifully filmed scenes that are nothing less than eyecatching There are so many scenes that are well done from a film perspective With beautiful use of colours to incredibly used angles that manages to capture different feelingsThe action is nothing short of incredible The start of the action movies that will come in the 2000s The Matrix is an inspiration With awesome action scenes that capture intense fighting while also keeping you on your toes its nothing but amazingThe Matrix is one of the best movies there is with very little to no negative things to say about it I highly recommend everyone to watch it with the promise that you wont be disappointed"
"1012","the matrix","2020-05-08","anthonydapiii",0.1," more than just a movie","My subject line fills up a majority of my takeaway from this fictional movieKeenu Reeves and the cast are stellar performers in this way They show more than just a fictional tale of a computer hacker learning the reality of the world from rebelsThis storyline shows the power of the mind and the ability we all have as human beings I see the symbolism in this movie beyond just the surface of what is seen on the screenI will also add that the filmmaking in the action scenes has to be hands down the best of any special effects Ive ever seen in any movie"
"1013","the matrix","2021-08-06","gavinpiliczky",1," mind bending","I remember leaving the cinema in my teens all those years ago and thinking Holy cow that was incredible This movie is a timeless science fiction classic It has an excellent mind bending concept that will leave you questioning your own reality The cinematography is great the special effects are excellent for there time and still hold their weight now the acting is superb the music score is something to drool over Ladies and gentlemen this is a masterpiece of a movie and must be watched"
"1014","the matrix","2016-03-28","prismark10",1," life in reality","What made The Matrix special was the groundbreaking visual effects such as Bullet Time that have been often imitated in other films and video games The Wachowskis simply knocked it out of the park when it came to the visualsKeanu Reeves is Mr Anderson an ordinary computer programmer by day and secret hacker called Neo at night who is suddenly pursued by government agents led by a sinister Agent Smith Hugo Weaving after he is contacted by computer hacker Morpheus Laurence FishburneMorpheus believes Neo is the One Humans lives in a false reality that controls humans and Neo will lead the harvested humans to rebel against the machines creating the false realityThe film mixes cyberpunk science fiction with Hong Kong style martial arts and elements of Japanese manga type animation as inspirationKeanu Reeves is in his element in a world where he does not understand what is around him He looks cool and does well in the martial arts sequences I guess revisiting this genre made up for the failure of Johnny MnemonicLaurence Fishburne is even more cooler as Morpheus guiding Neo in this hostile new reality and how to take down the system CarrieAnne Moss is kick ass sexy in black leather as Trinity who displays superhuman powersThe film has philosophical underpinnings as the Wachowskis ask us to think about the world around us and our place within itThe subtext of the film can be reanalysed in light of the personal journeys of the Wachowskis Change and transformation It is laughable to see the right wing attempting to coopt the movie for their own agendaThe film is cool it is hip but I felt slightly too long and little bit too po faced However the Wachowskis did manage to catch lightning in a bottle which they did not manage to do with the following two sequels"
"1015","the matrix","2020-07-14","hooma814",0.9," even better as an adult","This movie was always epic watching it as a kid The fight scenes with cool bullet dodging guns  helicopters all the martial arts it was all so exciting apart from two scenes that always freaked me out Neos mouth going missing and when Neo gets the bugs in and out of his stomach plus I might add the baby scene too when Neo is born again But other than that it was just a cool movie with cool clothesBut boy was it even better to watch it as an adult The complexity and symbolism throughout every scene is so detailed Its almost as if every line is deeply thought out and chosen Concepts that were way too hard as a kid like the connection of the ship being called Nebuchadnezar being connected with dreams and reality Or the white rabbit and Alice in Wonderland references Each of these tip offs were sp exciting especially what occurs in Neos interactions with the people coming to his door How did I miss the lines of them saying wake up Neo spends the first half of the movie asking so many questions It was also great to see how times have changed from 1999 technology and the phones used in the office scenesThe acting and casting is superb in this movie I love every character Hugo Weaving Keanu Reeves especially display one of the best faces off battles of good versus bad that Ive scene And that gun scene in the foyer has the be thee most insane shoot out fighting scene in movie history The fighting is so impressive All credit to the effort the movie makers and cast put into pulling this off with excellenceThe costumes and colour design is also well thought out with the green that matches the Matrix realityThis movie is so good If you havent watched it for a while or again as an adult Id highly recommend"
"1016","the matrix","2021-12-13","iq42",0.7," revolutionary idea but clich adaptation","Years ago when I was in grade 10 we watched this in ethics class My teacher Mrs Kosiol proudly announced that she had interpreted how the Matrix was inspired by Platos cave allegory before the maker of this movie mentioned itI just rewatched it mostly because I dont remember everything in the movie and want to watch its sequels The first half of the movie really had me All these ideas must have been so revolutionary for 1999 and surely defined parts of filmmaking Some ideas like AIs and humans destroying the planet seem overused nowadays but for 1999 this is a remarkable movieI really like the matrix idea As my teacher said it really is like Platos allegory and its interesting and scary to think about what were if the matrix was actually true The idea also reminded me of the Infinite Tsukuyomi from Naruto I wonder if Kishimoto was inspired by the matrixSo the first half really had me and I kinda wanted to like this movie but so many points just destroyed the feel for me Especially the second half was pretty boring and absurdWith such an intriguing idea as the matrix why does there have to be all those fight scenes Why does there have to be handtohand combat and gunshots and whatnot Maybe that generates more viewership in the cinema but for me it really didnt fit the sceneAnd then the very ending like what was that Why does Trinity have to wait so long and tell Neo something almost meaningless in front of the phone booth For god sake just get out and then you have all the time in the world to say whatever you wantIt was all to set up some romance between Neo and Trinity But I ask you Why This was so forced and at no point of the movie it seemed like there would be a romantic relationship arising between them It was romance just for the sake of a Hollywood kissAnd then there is Neo How flat can a character be This guy has absolutely no personality besides being the one And him going back in to save Morpheus also just doesnt fit his personality it is a forced superhero"
"1017","the matrix","2018-10-28","steelblue82",0.9," imaginitive brain scrambler","This movie raises one of my favorite questions What is reality The biggest strength of The Matrix is the story The special effects hold up because they did not try to go beyond their technological limitsThe biggest weakness of The Matrix is some of the dialogue It is often times either melodramatic or robotic It has a few plot holes the biggest of which being blood If it happens in the matrix your mind makes it real I dont know how your mind could give you a bloody lipWith all that The Matrix is still the best scifiaction flick ever made"
"1018","the matrix","2019-06-08","azbayarz",0.3," popped my cherry or mind","I was around 12 years old and watched it on Russian language first 20 times So first 20 times I was stunned by the visual of the film amazed by the craziness and awed by the fights Years went by and finally I watched it on my mother tounge I watched it 20 more times to get the grip of it Years went by Matrix still haunts me with its questions Around 16 years old I read some theory and explanations of the film Thats when I finally understood the 23 of the film Matrix forced me the Red Pill on entertainment and films"
"1019","the matrix","2003-05-16","jpintar",0.9," overrated","This has to be the most overrated movie in scifi history  It is way too long and the acting is stiff especially Keanu get me a new facial expression Reeves  Who cares about the special effects when the story is incoherent and uninteresting  I certanly dont  It disturbs me that many people consider this not only a great movie but a classic  Did these people see the same movie I did  I saw a dumb action movie with delusions of grandeur  I say watch Star Wars again and see what real storytelling is all about"
"1020","the matrix","2001-05-06","soujiro",1," laughably awful","The good The action scenes involving guns are original The frozen moment camera effect is well doneThe bad The script is uneven and horribly horribly written I mean Saturday morning cartoons are better written than this not even good cartoons either I think that the average episode of Voltron or Scooby Doo have more meaningful and profound scripts The main characters cant even manage to be two dimensional The ugly The acting is hideous and Im not just talking about the spoken lines I can almost hear Keanu saying dude after every line Fishburne is also attains a whole new level of corniness Mumra on Thundercats levels of melodrama As in another overhyped movie Crouching Tiger etc etc no amount of special effects can disguise the fact that these people do not know martial arts The fight scene between Fishburne and Reeves made me laugh out loud and not in a happy way more of a I cant believe how pathetic this is kind of defensive laugh Hong Kong movies made in the late seventies have better wirework The cookie cutter villain is actually the most compelling character and that my friends is sad This is what really makes me nauseous Two more movies are coming out Umm did I miss something here I thought that the movies only redeeming quality was the surprise midway through when we found out what The Matrix was Theres not much sequel material here to work withThe first half of this movie is decent in that it doesnt really insult the viewer As soon as Reeves wakes up in the tank the movie becomes a laughable pretentious Saturday morning cartoon Junior high kids should eat it up but any reasonably intelligent person who has read a book in his or her life will take absolutely nothing from this move of any lasting value A truly mindnumbing movie"
"1021","the matrix","2000-06-01","anonymous_maxine",0.3," hell yeah","Finally a science fiction film that cannot be immediately dismissed as either unreal or impossible How can anyone say that this isnt exactly the way that reality is To try and disprove this view of reality would be like trying to disprove the existence of God Maybe hes there maybe he isnt but no one can possibly prove it either way It works the same way for The Matrix It is possible that everything that we see is fed into our minds by machines and that we would never know it Probably the only remotely convincing argument the other way would be that if that were true why would the machines give us a movie like this to watch It would expose them But then again maybe they just want to get us thinking maybe to see how well react to the possibility of their existence Maybe they are getting ready to present themselves to us Robot rapture Who can say that the Wachowski brothers are not messengersThis is by far the best science fiction film that I have ever seen Aside from the relatively plausible story every other element of the film was spectacular The special effects which in my opinion usually take more away from a film than they add were awesome the fight scenes were incredibly intense and the pace of the film itself was breathtaking Every hole is covered up brilliantly even down to a definition of dejavu and a possible reason for why so many different foods taste like chicken These little ties to reality are one of the best ways that this film was able to come off so realistically The Matrix is absolutely not to be missed Even people who dont like science fiction or even action films will more than likely enjoy this film It is well presented it is not unnecessarily excessive and it presents the most innovative camera work in years It has something for everyone and will become a science fiction classic without a doubt"
"1022","the matrix","2014-10-21","harryplinkett14",0.4," unbearable","This is unbearable nonsense combined with irritating action scenes The film is a continuous insult to the audiences intelligence We see it makes no sense but the film insists that YOU are just being stupid for not seeing the sense in it And then it proceeds to throw even more nonsense at you until you give up trying to make sense out of it But heres the problem if I give up caring why am I watching Well some get up and leave the theater Others wait for the action scenes and the CGI display Then again these scenes make no sense either As time goes by they become longer and longer Endless fist fighting in scenes where everyone seems almost indestructible Why do I care that a character is being thrown at the wall if I know it wont hurt him And why do they use fists Why not detonate a bomb Who knows And who caresThe sequels however get even worse Now that the novelty has worn off they give you more of the same old nonsense but they turn up the volume to 11 More fight scenes more CGI more nonsense They keep introducing new characters in order to maintain the illusion that there is a plot here But there is no plot These are silly diversions And can anyone endure the pseudophilosophical talk Its unbearable But lets get to the political message No Im kidding Im not going there But if you havent understood it whats the point of me telling you anythingI will say though that I do not wish to be a part of the kind of humanity the film depicts even if we never get to fight evil machines There are worse things than machines in this world"
"1023","the matrix","2021-12-23","anterkost",1," i dread matrix 4","This should have ended as a masterpiece Like some neuromancer novel If matrix4 isnt part of the decline since matrix 2  3 im going to be thrilled Im"
"1024","the matrix","2021-12-28","joao-luiz_mjr",0.7," unforgettable and iconic","The Matrix is a masterpiece of modern cinema It draws heavily from scifi classics such as Ghost in the Shell and Neuromancer exploring themes of systemic societal exploitation the notion and expression of the self as well as technology encroaching onto the human body and mind and the dread of a now alltooknown dystopic future all of it wrapped up in a shell of sleek leather and vinylclad punk visuals and beautifully choreographed fightsFishburne playing Morpheus and Weaving playing Agent Smith are both stellar  every word coming out of their mouths every inch of movement they make all of it feels carefully measured if not downright hypnotic and they both manage to keep the plot fresh and profoundly engaging even when armed with nothing but dialogueIts one of those movies that can give you chills and enthrall you with its scenes even after all these years Truly its an incredible experience"
"1025","the matrix","2021-09-06","jimmydennis00",1," the chosen one","Was way ahead of its time Still hold up Now as far as the sequels I can not say the same thing"
"1026","the matrix","2002-02-15","dltdvd",0.1," i dont care what anybody says this is nothing original","When I first saw the Matrix a few years ago I thought it was a pretty good flick but as I watched it more and more I began to realize that the film ripped off from a variety of films such as the computeranimated masterpiece Tron and the intelligent action film FaceOff to name a few Now most people think this film is intelligent but I thought that is was incredibly long and was almost entirely plotless Its a shame at how the characters act so serious that you dont know what they are talking about Another problem I have with the Matrix were the incredibly overrated effects First of all I cant understand why the Matrix won the Visual Effects Oscar over the Phantom Menace which took much more effort and used much more technology I see so many unoriginalities with the Matrixs effects People who think that the Bullet Time effects were original and told the story you obviously havent seen the slowmotion bullets in FaceOff which I personally found more eyecatching And for people who think that the story about a computer programmer entering a virtual reality world you obviously havent seen the Walt Disney masterpiece Tron which by the way had far more groundbreaking technology for its day than the Matrixs effects had when it was first made Overall the Matrix is one of the most overrated films Ive ever seen and had more attention than it actually deserved Grade D"
"1027","the matrix","2021-12-27","yaszi-83296",1," an iconic masterpiece","The Matrix came out in 1999 for almost 23 years ago but the vfx is still pretty good the movie wasnt supposed to be the biggest thing but still looked nice It has this unique green tint that some may say looks bad but that makes the movie look unique compared to other movies If you have watched the 4th installment witch came out Xmas 2021 you can see that the tint is gone and it dont look like a matrix film even do it was created 22 years after the 1st one it looks out of place so the tint is a great thingThe music is great and has this scifi theme mixed with great action music witch brings back memories of Terminator 2 The music works great with the great performances of all the actors  the well choreographed fights There are some nice action scenes and then towards the end its all action There is so much variation in the fights aswell it isnt just a small area the characters fight for a long time but the last almost hour of the film is just one big pile of action that still has variation whiles being fluentThe story and concept is also pretty interesting and the movie and the whole franchise really shows the concept in an deep wayAnother great thing is the characters that all get love the antagonist is also awesome agent smith is a great villain even do you only see him in a black suit with glasses most of the time at least the suit always stays on The movie also manages to have little to no boring scenes many movies have to explain somethings and most movies like to balance the explaining throughout the experience some movies no matter how good have some of those boring scenes that are necessary and understandable to have in the film if the audience is going to understand the story being told The scenes that have som explaining still feel good you might feel a tiny bit bored but it just gets more and more exiting and you dont feel bored at all its kinda hard to explain with wordsAt the end of the day an iconic sciif movie with great everything and also if you mad"
"1028","the matrix","2010-09-22","s_daad",0.6," disguised scientology","A lot of people like The Matrix because they think its deep In fact its apparent deepness is its primary selling point and is what has turned it into a blockbuster and trendsetter Just ponder over this because theres a contradiction here Whenever has Hollywood hit the jackpot by being profound either in a philosophical or religious way Something strange is going on here A lot of the mystery disappears after we identify exactly what belief the Wachowski brothers are purveying here Its Scientology They are telling us that the power of the mind is able to free us from the matrix of the senses The scientologists are anxious to free themselves and become thetans  omnipresent and omnipowerful mindsNow the success of The Matrix tells me just one thing that people have become closet scientologists They dont grapple with the issue of appearance and reality in the way scientologists do but the core belief is there They might call themselves an atheist or an evolutionist We only accept what science tells us but thats only an excuse for not really sorting out what they really believe in So along comes a film called The Matrix and it hits a chord They can identify with Neo because they are aware of a thing called corporate media manipulating reality for them They are also brought up on computer games and so its not too big a leap to imagine a virtual world completely replacing the real one I can see how closet scientologists can completely immerse themselves in the plight of Neo and his Christlike struggle to free humanity from the clutches on the senses and become omnipowerful minds in the parlance of the film taking them to promised city of ZionIn that sense the film is profound in that it resonates with popular belief so accurately There is just enough spattering of science and philosophy to take them in People want to believe in science but they dont want to be troubled like Einstein was Does God play dice The most convincing part of the film is where Morpheus demonstrates t"
"1029","the matrix","2022-03-18","judybrennert",0.1," the holy grail","Still the basis of how you kick off a revolution in film with a distinct style and tone it is unapologetic of how movies should be rather it is original to the core taking the best of what we know and creating a heros journey like no other The Action in particular for a Hollywood movie is still the best till this day"
"1030","the matrix","2005-07-27","callanvass",0.9," a masterpiece in all aspects and one of the greatest actionscifi films of all time","This is a masterpiece in all aspects and one of the greatest actionSciFi films of all time Its brilliantly madewith some incredible jaw dropping special effects and an extremely cool story plus Keanu Reeves is simply amazing in this A lot of people criticized Keanus performance i thought it was amazing in my opinion and all the rest of the characters are outstanding plus the fight scenes are awesomeKeanu had awesome chemistry with both Laurence Fishburne and CarrieAnne Moss and the story gripped me right from the beginning plus the stunts were outstanding Hugo Weaving is fantastic as Agent Smith and he was really menacing and the set pieces were incredible plus it actually managed to creep me out sometimes The finale is one of the best i have seen and this deserve all the praise it gets from everyone plus the ending was great This is a masterpiece in all aspects and one of the greatest ActionSciFi films ever made and i say GO see this movie right now dont waste any more time if you havent The Direction is amazing The Wachowski brothers do an amazing job here with amazing camera work fantastic angles great use of colors using a creepy setting and plenty more amazing shots The Acting is wonderful Keanu Reeves is AMAZING here he is extremely likable fantastic in the acting department had awesome chemistry with Moss and Fishburne had some great dialog was vulnerable and was just extremely cool overall Reeves Rules Laurence Fishburne is really fantastic as Morpheous he played an excellent character had some awesome dialog had awesome chemistry with Keanu kicked that ass and was just too cool CarrieAnne Moss is great here she was really likable convincing and had awesome chemistry with Keanu i liked her lots Hugo Weaving is Awesome as Agent Smith he was one scary guy and plays one of the coolest villains ever Joe Pantoliano and Marcus Chong both do what they have to do well Rest of the cast are excellent Overall Go See it right this instant dont waste any more time if you"
"1031","the matrix","1999-06-17","preore72",0.8," terrible script  mediocre acting  great special effects  the matrix","The Matrix is just another scifi film that offers nothing special to the genre The only reason everybody dropped their jaws and praised this film was because of the great special effects and fight scenes Believe me there is a lot more to a film than just its special effectsThe script was mind numbing at times especially with the whole Were not in Kansas anymore bull crap line and the acting was just a notch above awful The only person that even resembled an actor was Laurence Fishburne Keanu Reeves is his usual selfAll in all a pretty terrible movie and everyones love for it made it even worseIf you are looking for a good scifi flick go out and get Planet of the Apes A Clockwork Orange or any one of the Star Wars films If you are looking for a good 90s scifi flick go get 12 Monkeys cause that has a lot more than this like a script and a plot that is more than paper thin"
"1032","the matrix","2004-06-10","dr_foreman",0.9," mildly entertaining yet fundamentally wretched","Im waiting like a vulture for this movie to become dated And it will The club scene the sunglasses the fashions the cell phones  oh yes one day it will all look and sound unbearably corny And then well have to actually pay attention to the script and the acting or lack thereof And we will realize that this movie reeksFor an action film its remarkably dull with the first half basically consisting of a looong string of complex explanations It doesnt help that Neo is a totally flat character If Im to care that hes trapped in the Matrix I need to see more of his life there Sadly one scene of Neo at work being berated by the boss does not a fascinating character make I also think it was a terrible mistake to make him a programmer since he already understands the nature of computers and should therefore be more receptive to the idea of the Matrix instead of consistently incredulous And am I supposed to believe that this master hacker doesnt know what an EMP isThe film is also terribly derivative Morpheus is an even more gaseous version of Yoda and Neo is clearly based on Luke promising young man discovers superpowers and helps rebels overthrow their nasty oppressors The visual style is ripped off from the Alien movies as is the snakelike parasite that somehow manages to burst through Neos bellybutton without leaving a mark The evil agents clearly evoke The XFiles the notion that mankind is enslaved by robots in an apocalyptic future comes straight out of The Terminator and  most damningly of all  the concept of a virtual reality environment called the Matrix had featured some 23 years earlier in an episode of Doctor Who The Deadly Assassin Maybe the Matrix didnt consciously rip off all of these sources but its certainly worth noting that this movie is utterly unoriginal in every respect but its action photography and that will like all the rest probably date badlyNeedless to say Reeves is pretty bland and Fishbourne is just plain embarrassing in his first scene it doesnt "
"1033","the matrix","2021-01-02","dari0",0.1," ever felt like youre living a simulation","What if I told you the Matrix is not a SciFi but a Documentary movie"
"1034","the matrix","1999-05-05","inframan",0.9," pretty awful mediocre dreck","Cant believe this film has so many people so enthused Most of it is dumb boring clicheridden dialogue Ive seen tons of bflicks on 2 AM cable that had more life than this thing The scifi effects are 10th rate derivative of Alien  all its spawns down through even the stupid remake of Lost in Space Where the hell is all the groovy gothic architecture I read about The climax is bad John Woo knockoff So whats it all mean That todays moviegoers love nothing more that bad remakes of yesterdays movies Guess so"
"1035","the matrix","2008-09-17","petra_ste",1," keanu versus philip k dick","Action set pieces in this movie have already become iconic brilliantly choreographed inventive and gloriously over the top they represent a fine mix of science fiction and martial arts The bullettime effect in particular has been ripped off dozens of times sinceUnfortunately thats the only real achievement of the Matrix series everything else reeks of Philip K Dick for dummies Not only the stuff about alternative realities and cyberspace but also pretty much every other idea seems to have been discreetly borrowed from other sources aside from Dick major inspirations are Alex Proyas Dark City and William Gibsons Count Zero Even the famous set piece where Neo Reeves infiltrates an enemy base to rescue his mentorguru Morpheus Fishburne has its precedent in Dick bullettime included read Counterclockwise if you dont believe me The result is an admittedly pretty collageHuman element is weak which makes emotional involvement faint characters are bland showing little personality Reeves Neo is just a blank Fishburne and Moss fare a little better but the standouts are Pantoliano as traitorous Cypher and an icy smug Hugo Weaving as Agent Smith every time he is on screen the movie shift gears Its one of the Matrix ironies that its cybernetic villain is a lot more lively than the human hero Kubrick did the same in 2001 but that was a deliberate choiceWhile Dicks works are rich with irony and melancholy the Wachowskis go for kung fu and head shots Still better an overdose of action than the portentous posturing which they tried to pass off as philosophy in the two sequels710"
"1036","the matrix","2020-07-29","danyinfantino",0.8," all scifi films to come","This movie really stands the test of time Today 21 years later and at least 11 years since i saw it last time it still holds up perfectly The story the visuals the tone"
"1037","the matrix","2006-03-10","qanqor",0.6," unfathomably overrated","I dont get why everybody loves this movie so much Its just not that good On its own merits it deserves more than the one star I gave it but when you factor in the annoyance factor of the gushing fans well lets say I just felt a need to counterbalance its high ratingsBlah blah blah special effects So what Yet another example of SpecialEffectsInSearchOfAMovie The story holds together poorly The premise was initially pretty interesting but the movie seemed utterly incapable of establishing rules for how its world works and sticking to themFinally the movie hit a pet peeve of mine which was to me its ultimate fatal flaw Im very big on the science part of science fiction So you lose me instantaneously when you start introducing mystic mumbojumbo into a science fiction story For me this film jumped the shark when we get to that wise woman character nevermind that the mystic nonsense is somewhat demystified in the sequel films this review is about this film Yeah dropping in an allknowing cryptic prophetess without the tiniest hint of explanation of her abilities makes for a convenient plot device but defies all reason or sense"
"1038","the matrix","2003-10-19","pist-off",0.9," layered textured somewhat intelligent future of sci fi","i love this movie for the manny many themes that come up repeatedly The storys arch is quite good in that it doesnt feel as though much of anything else could be added The central philosophy is admirably brought to a movie that a mainstream audience can digest along with metaphorical and allegorical strains of the bible alice in wonderland drug use the life cycle cartesian dualism buddhist one consciousness giger style enemies artificial intelligence newtonian physics orwellian nightmares and euclidean view of the world as a series of numbers and probabilities Sci fi need not be the same old evil monster chase humans without rhyme or reason The movie dooes sidestep charecter development by making its charecters not know who they are and also by killing most of them off as soon as they are met while this isnt the arty pretentious greatness of citizen kane or waking life it is a movie that is likely to be long remembered and worshipped like Star Wars"
"1039","the matrix","2015-07-17","flashcallahan",0.8," i know kungfu","Thomas Anderson lives an ordinary life A software techie by day and a computer hacker by night he sits alone at home by his monitor waiting for a sign but from what or whom he doesnt knowOne night a mysterious woman named Trinity seeks him out and introduces him to that faceless character he has been waiting forMorpheus A messiah of sorts Morpheus presents Neo with the truth about his world by shedding light on the dark secrets that have troubled him for so longAfter seeing this after so many years the then groundbreaking movie just doesnt hold up for meBack in 1999 the trailer was one of the most mysterious things ever to be seen at the cinema It was refreshing to see a film not give away any of the plot and just astound people with the wonderful effects for that timeAnd it comes to fruition that the reason why none of the plot is revealed on the trailer is simply because its that mindboggingly bonkers that it probably would have deterred many form seeing itSeeing it now with much older and wiser eyes the films just a series of zen like exposition chapters tied together with very beautiful aweinspiring action and Keanu going WhoaThe Wachowskis are geniuses they have made some very experimental movies some of them are good some of them are complete cobblers this is why the sequels are much maligned because they were released when other better movies were releasedWhat summer blockbusters were released at the time of this Episode I Entrapment Wild Wild West The Mummy The HauntingSo this would have stood out because the summer of 1999 was a travestyIts still enjoyable enough I just dont think it deserves the pedestal it sits on"
"1040","the matrix","2008-01-26","kenjha",0.8," silly","Extremely silly nonsense about a future where machines have taken over the world and life on earth is a virtual reality controlled by computer programs in some alternate universe This is one of the worst movies from a major studio featuring a convoluted and boring plot thats all over the place and goes on way too long The slowmotion fight scenes are laughably bad Reeves looks lost throughout the movie Fishburne spews clichs as some sort of a zen master The Wachowski Brothers who showed so much promise with Bound their first feature not only wrote the terrible script but also dreamed up the lame special effects This is an utter waste of time"
"1041","the matrix","2002-03-15","tfrizzell",0.5," one of the greatest flukes of all time","The Matrix is easily one of the most if not the most overrated film ever made It is short on characterization and direction and all the performances are subpar A group of innovative special effects dazzled many but I was unimpressed by them as well In many ways the film is ugly and cheap looking Keanu Reeves plays a computer hacker who learns from a strange group of rebels what his true purpose for living is to help stand against a department of controllers who run what is really reality Exactly The plot is so stupid and it just makes no sense most of the time Keanu Reeves usually makes films work but he cannot save this mess The same is true for dependable players like Joe Pantoliano and Laurence Fishburne who just seem lost in the maze that is the movie In short The Matrix is eyecandy and little else Save your time and look at a group of Picassos paintings instead They are just as empty and meaningless as The Matrix 25 out of 5 stars"
